Tacgia,Link,Namsinh,Quote
Albert Einstein,/author/Albert-Einstein,"March 14, 1879",Logic will get you from A to Z imagination will get you everywhere
Bob Marley,/author/Bob-Marley,"February 06, 1945",One good thing about music when it hits you you feel no pain
Dr. Seuss,/author/Dr-Seuss,"March 02, 1904",The more that you read the more things you will know The more that you learn the more places youll go
J.K. Rowling,/author/J-K-Rowling,"July 31, 1965",Of course it is happening inside your head Harry but why on earth should that mean that it is not real
Bob Marley,/author/Bob-Marley,"February 06, 1945",The truth is everyone is going to hurt you You just got to find the ones worth suffering for
Mother Teresa,/author/Mother-Teresa,"August 26, 1910",Not all of us can do great things But we can do small things with great love
J.K. Rowling,/author/J-K-Rowling,"July 31, 1965",To the wellorganized mind death is but the next great adventure
Charles M. Schulz,/author/Charles-M-Schulz,"November 26, 1922",All you need is love But a little chocolate now and then doesnt hurt
William Nicholson,/author/William-Nicholson,"January 12, 1948",We read to know were not alone
Albert Einstein,/author/Albert-Einstein,"March 14, 1879",Any fool can know The point is to understand
Jorge Luis Borges,/author/Jorge-Luis-Borges,"August 24, 1899",I have always imagined that Paradise will be a kind of library
George Eliot,/author/George-Eliot,"November 22, 1819",It is never too late to be what you might have been
George R.R. Martin,/author/George-R-R-Martin,"September 20, 1948",A reader lives a thousand lives before he dies said Jojen The man who never reads lives only one
C.S. Lewis,/author/C-S-Lewis,"November 29, 1898",You can never get a cup of tea large enough or a book long enough to suit me
Marilyn Monroe,/author/Marilyn-Monroe,"June 01, 1926",You believe lies so you eventually learn to trust no one but yourself
Marilyn Monroe,/author/Marilyn-Monroe,"June 01, 1926",If you can make a woman laugh you can make her do anything
Albert Einstein,/author/Albert-Einstein,"March 14, 1879",Life is like riding a bicycle To keep your balance you must keep moving
Marilyn Monroe,/author/Marilyn-Monroe,"June 01, 1926",The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space
Marilyn Monroe,/author/Marilyn-Monroe,"June 01, 1926",A wise girl kisses but doesnt love listens but doesnt believe and leaves before she is left
Martin Luther King Jr.,/author/Martin-Luther-King-Jr,"January 15, 1929",Only in the darkness can you see the stars
J.K. Rowling,/author/J-K-Rowling,"July 31, 1965",It matters not what someone is born but what they grow to be
James Baldwin,/author/James-Baldwin,"August 02, 1924",Love does not begin and end the way we seem to think it does Love is a battle love is a war love is a growing up
Jane Austen,/author/Jane-Austen,"December 16, 1775",There is nothing I would not do for those who are really my friends I have no notion of loving people by halves it is not my nature
Eleanor Roosevelt,/author/Eleanor-Roosevelt,"October 11, 1884",Do one thing every day that scares you
Marilyn Monroe,/author/Marilyn-Monroe,"June 01, 1926",I am good but not an angel I do sin but I am not the devil I am just a small girl in a big world trying to find someone to love
Albert Einstein,/author/Albert-Einstein,"March 14, 1879",If I were not a physicist I would probably be a musician I often think in music I live my daydreams in music I see my life in terms of music
Haruki Murakami,/author/Haruki-Murakami,"January 12, 1949",If you only read the books that everyone else is reading you can only think what everyone else is thinking
Alexandre Dumas fils,/author/Alexandre-Dumas-fils,"July 27, 1824",The difference between genius and stupidity is genius has its limits
Stephenie Meyer,/author/Stephenie-Meyer,"December 24, 1973",Hes like a drug for you Bella
Ernest Hemingway,/author/Ernest-Hemingway,"July 21, 1899",There is no friend as loyal as a book
Helen Keller,/author/Helen-Keller,"June 27, 1880",When one door of happiness closes another opens but often we look so long at the closed door that we do not see the one which has been opened for us
George Bernard Shaw,/author/George-Bernard-Shaw,"July 26, 1856",Life isnt about finding yourself Life is about creating yourself
Charles Bukowski,/author/Charles-Bukowski,"August 16, 1920",Thats the problem with drinking I thought as I poured myself a drink If something bad happens you drink in an attempt to forget if something good happens you drink in order to celebrate and if nothing happens you drink to make something happen
Suzanne Collins,/author/Suzanne-Collins,"August 11, 1962",You dont forget the face of the person who was your last hope
Suzanne Collins,/author/Suzanne-Collins,"August 11, 1962",Remember were madly in love so its all right to kiss me anytime you feel like it
C.S. Lewis,/author/C-S-Lewis,"November 29, 1898",To love at all is to be vulnerable Love anything and your heart will be wrung and possibly broken If you want to make sure of keeping it intact you must give it to no one not even an animal Wrap it carefully round with hobbies and little luxuries avoid all entanglements Lock it up safe in the casket or coffin of your selfishness But in that casket safe dark motionless airless it will change It will not be broken it will become unbreakable impenetrable irredeemable To love is to be vulnerable
J.R.R. Tolkien,/author/J-R-R-Tolkien,"January 03, 1892",Not all those who wander are lost
J.K. Rowling,/author/J-K-Rowling,"July 31, 1965",Do not pity the dead Harry Pity the living and above all those who live without love
Ernest Hemingway,/author/Ernest-Hemingway,"July 21, 1899",There is nothing to writing All you do is sit down at a typewriter and bleed
Ralph Waldo Emerson,/author/Ralph-Waldo-Emerson,"May 25, 1803",Finish each day and be done with it You have done what you could Some blunders and absurdities no doubt crept in forget them as soon as you can Tomorrow is a new day You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense
Mark Twain,/author/Mark-Twain,"November 30, 1835",I have never let my schooling interfere with my education
Dr. Seuss,/author/Dr-Seuss,"March 02, 1904",I have heard there are troubles of more than one kind Some come from ahead and some come from behind But Ive bought a big bat Im all ready you see Now my troubles are going to have troubles with me
Alfred Tennyson,/author/Alfred-Tennyson,"August 06, 1809",If I had a flower for every time I thought of youI could walk through my garden forever
Charles Bukowski,/author/Charles-Bukowski,"August 16, 1920",Some people never go crazy What truly horrible lives they must lead
Terry Pratchett,/author/Terry-Pratchett,"April 28, 1948",The trouble with having an open mind of course is that people will insist on coming along and trying to put things in it
Dr. Seuss,/author/Dr-Seuss,"March 02, 1904",Think left and think right and think low and think high Oh the thinks you can think up if only you try
J.D. Salinger,/author/J-D-Salinger,"January 01, 1919",What really knocks me out is a book that when youre all done reading it you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it That doesnt happen much though
George Carlin,/author/George-Carlin,"May 12, 1937",The reason I talk to myself is because Im the only one whose answers I accept
John Lennon,/author/John-Lennon,"October 09, 1940",You may say Im a dreamer but Im not the only one I hope someday youll join us And the world will live as one
W.C. Fields,/author/W-C-Fields,"January 29, 1880",I am free of all prejudice I hate everyone equally 
Ayn Rand,/author/Ayn-Rand,"February 02, 1905",The question isnt who is going to let me its who is going to stop me
Mark Twain,/author/Mark-Twain,"November 30, 1835",Classic  a book which people praise and dont read
Albert Einstein,/author/Albert-Einstein,"March 14, 1879",Anyone who has never made a mistake has never tried anything new
Jane Austen,/author/Jane-Austen,"December 16, 1775",A ladys imagination is very rapid it jumps from admiration to love from love to matrimony in a moment
J.K. Rowling,/author/J-K-Rowling,"July 31, 1965",Remember if the time should come when you have to make a choice between what is right and what is easy remember what happened to a boy who was good and kind and brave because he strayed across the path of Lord Voldemort Remember Cedric Diggory
Jane Austen,/author/Jane-Austen,"December 16, 1775",I declare after all there is no enjoyment like reading How much sooner one tires of any thing than of a book  When I have a house of my own I shall be miserable if I have not an excellent library
Jane Austen,/author/Jane-Austen,"December 16, 1775",There are few people whom I really love and still fewer of whom I think well The more I see of the world the more am I dissatisfied with it and every day confirms my belief of the inconsistency of all human characters and of the little dependence that can be placed on the appearance of merit or sense
C.S. Lewis,/author/C-S-Lewis,"November 29, 1898",Some day you will be old enough to start reading fairy tales again
C.S. Lewis,/author/C-S-Lewis,"November 29, 1898",We are not necessarily doubting that God will do the best for us we are wondering how painful the best will turn out to be
Mark Twain,/author/Mark-Twain,"November 30, 1835",The fear of death follows from the fear of life A man who lives fully is prepared to die at any time
Mark Twain,/author/Mark-Twain,"November 30, 1835",A lie can travel half way around the world while the truth is putting on its shoes
C.S. Lewis,/author/C-S-Lewis,"November 29, 1898",I believe in Christianity as I believe that the sun has risen not only because I see it but because by it I see everything else
J.K. Rowling,/author/J-K-Rowling,"July 31, 1965",The truth Dumbledore sighed It is a beautiful and terrible thing and should therefore be treated with great caution
Jimi Hendrix,/author/Jimi-Hendrix,"November 27, 1942",Im the one thats got to die when its time for me to die so let me live my life the way I want to
J.M. Barrie,/author/J-M-Barrie,"May 09, 1860",To die will be an awfully big adventure
E.E. Cummings,/author/E-E-Cummings,"October 14, 1894",It takes courage to grow up and become who you really are
Khaled Hosseini,/author/Khaled-Hosseini,"March 04, 1965",But better to get hurt by the truth than comforted with a lie
Harper Lee,/author/Harper-Lee,"April 28, 1926",You never really understand a person until you consider things from his point of view Until you climb inside of his skin and walk around in it
Madeleine L'Engle,/author/Madeleine-LEngle,"November 29, 1918",You have to write the book that wants to be written And if the book will be too difficult for grownups then you write it for children
Mark Twain,/author/Mark-Twain,"November 30, 1835",Never tell the truth to people who are not worthy of it
Dr. Seuss,/author/Dr-Seuss,"March 02, 1904",A persons a person no matter how small
George R.R. Martin,/author/George-R-R-Martin,"September 20, 1948", a mind needs books as a sword needs a whetstone if it is to keep its edge
